CPU: ID 0x806c1, Processor Type 0x0, Family 0x6, Model 0x8c, Stepping 0x1
Northbridge: 8086:9a14 (11th generation (Tiger Lake UP3 family) Core Processor (Mobile))
Southbridge: 8086:a088 (Tiger Point Embedded IOTG)
IGD: 8086:9a49 (Intel(R) Iris Xe Graphics)
SBREG_BAR = 0xfd000000 (MEM)
0x09a0: 0x0003c04084000300 GPP_A0       GPIO                
0x09b0: 0x0003c04184000300 GPP_A1       GPIO                
0x09c0: 0x0003c04284000300 GPP_A2       GPIO                
0x09d0: 0x0003c04384000300 GPP_A3       GPIO                
0x09e0: 0x0003c04484000300 GPP_A4       GPIO                
0x09f0: 0x0003c04584000300 GPP_A5       GPIO                
0x0a00: 0x0003c04684000300 GPP_A6       GPIO                
0x0a10: 0x0003c04744000700 GPP_A7       I2S2_SCLK           
0x0a20: 0x0003c04844000700 GPP_A8       I2S2_SFRM           
0x0a30: 0x0003c04944000700 GPP_A9       I2S2_TXD            
0x0a40: 0x0003c04a44000702 GPP_A10      I2S2_RXD            
0x0a50: 0x0000004b44000300 GPP_A11      GPIO                
0x0a60: 0x0000004c44000300 GPP_A12      GPIO                
0x0a70: 0x0000304d84000200 GPP_A13      GPIO                
0x0a80: 0x0002404e44000b00 GPP_A14      DDSP_HPD3           
0x0a90: 0x0000004f44000300 GPP_A15      GPIO                
0x0aa0: 0x0000005044000300 GPP_A16      GPIO                
0x0ab0: 0x0000005144000300 GPP_A17      GPIO                
0x0ac0: 0x0002405244000700 GPP_A18      DDSP_HPDB           
0x0ad0: 0x0000005344000300 GPP_A19      GPIO                
0x0ae0: 0x0000005444000300 GPP_A20      GPIO                
0x0af0: 0x0000005544000300 GPP_A21      GPIO                
0x0b00: 0x0000005644000300 GPP_A22      GPIO                
0x0b10: 0x0000005744000300 GPP_A23      GPIO                
0x0b20: 0x0000000040000700 ESPI_CLK_LOOPBK ESPI_CLK_LOOPBK     
------- GPIO Community 1 -------

PCR Port ID: 0x6d0000

------- GPIO Group GPP_S -------
0x0700: 0x0180006c44000300 GPP_S0       GPIO                
0x0710: 0x0180006d44000300 GPP_S1       GPIO                
0x0720: 0x0180006e44000300 GPP_S2       GPIO                
0x0730: 0x0180006f44000300 GPP_S3       GPIO                
0x0740: 0x0180007044000300 GPP_S4       GPIO                
0x0750: 0x0180007144000300 GPP_S5       GPIO                
0x0760: 0x0180007244000300 GPP_S6       GPIO                
0x0770: 0x0180007344000300 GPP_S7       GPIO                
------- GPIO Group GPP_H -------
0x0780: 0x0000007444000200 GPP_H0       GPIO                
0x0790: 0x0000007544000200 GPP_H1       GPIO                
0x07a0: 0x0000007644000200 GPP_H2       GPIO                
0x07b0: 0x0000007744000300 GPP_H3       GPIO                
0x07c0: 0x0000001844000702 GPP_H4       I2C2_SDA            
0x07d0: 0x0000001984000500 GPP_H5       I2C2_SCL            
0x07e0: 0x0000001a44000702 GPP_H6       I2C3_SDA            
0x07f0: 0x0000001b44000702 GPP_H7       I2C3_SCL            
0x0800: 0x0000001c44000702 GPP_H8       I2C4_SDA            
0x0810: 0x0000001d44000702 GPP_H9       I2C4_SCL            
0x0820: 0x0000001e44000300 GPP_H10      GPIO                
0x0830: 0x0000001f44000300 GPP_H11      GPIO                
0x0840: 0x0000002044000300 GPP_H12      GPIO                
0x0850: 0x0000002144000300 GPP_H13      GPIO                
0x0860: 0x0000002244000300 GPP_H14      GPIO                
0x0870: 0x0000002344000300 GPP_H15      GPIO                
0x0880: 0x0003c02444000700 GPP_H16      DDPB_CTRLCLK        
0x0890: 0x0003c02544000600 GPP_H17      DDPB_CTRLDATA       
0x08a0: 0x0003c02644000700 GPP_H18      CPU_C10_GATE#       
0x08b0: 0x0003c02744000700 GPP_H19      TIME_SYNC0          
0x08c0: 0x0000002844000300 GPP_H20      GPIO                
0x08d0: 0x0000002944000300 GPP_H21      GPIO                
0x08e0: 0x0000002a44000300 GPP_H22      GPIO                
0x08f0: 0x0000002b44000200 GPP_H23      GPIO                
------- GPIO Group GPP_D -------
0x0900: 0x0000302c84000102 GPP_D0       GPIO                
0x0910: 0x0000302d84000102 GPP_D1       GPIO                
0x0920: 0x0000002e84000300 GPP_D2       GPIO                
0x0930: 0x0000302f84000100 GPP_D3       GPIO                
0x0940: 0x0000003044000300 GPP_D4       GPIO                
0x0950: 0x0000003144000300 GPP_D5       GPIO                
0x0960: 0x0000003244000300 GPP_D6       GPIO                
0x0970: 0x0000003344000300 GPP_D7       GPIO                
0x0980: 0x0000003444000300 GPP_D8       GPIO                
0x0990: 0x00003c3544001700 GPP_D9       BSSB_LS2_RX         
0x09a0: 0x00003c3644001600 GPP_D10      BSSB_LS2_TX         
0x09b0: 0x00003c3744001700 GPP_D11      BSSB_LS3_RX         
0x09c0: 0x00003c3844001600 GPP_D12      BSSB_LS3_TX         
0x09d0: 0x0000003944000300 GPP_D13      GPIO                
0x09e0: 0x0000003a44000300 GPP_D14      GPIO                
0x09f0: 0x0000003b44000300 GPP_D15      GPIO                
0x0a00: 0x0000003c44000300 GPP_D16      GPIO                
0x0a10: 0x0000303d84000201 GPP_D17      GPIO                
0x0a20: 0x0000303e84000102 GPP_D18      GPIO                
0x0a30: 0x0003c03f44000700 GPP_D19      I2S_MCLK1           
0x0a40: 0x0000000040000700 GSPI2_CLK_LOOPBK GSPI2_CLK_LOOPBK    
------- GPIO Group GPP_U (TGL UP3 only) -------
0x0a50: 0x0000004044000300 GPP_U0       GPIO                
0x0a60: 0x0000004144000300 GPP_U1       GPIO                
0x0a70: 0x0000004244000300 GPP_U2       GPIO                
0x0a80: 0x0000004344000300 GPP_U3       GPIO                
0x0a90: 0x0000004484000100 GPP_U4       GPIO                
0x0aa0: 0x0000004584000100 GPP_U5       GPIO                
0x0ab0: 0x0000004644000300 GPP_U6       GPIO                
0x0ac0: 0x0000004744000300 GPP_U7       GPIO                
0x0ad0: 0x0000004844000300 GPP_U8       GPIO                
0x0ae0: 0x0000004944000300 GPP_U9       GPIO                
0x0af0: 0x0000004a44000300 GPP_U10      GPIO                
0x0b00: 0x0000004b44000300 GPP_U11      GPIO                
0x0b10: 0x0000004c44000300 GPP_U12      GPIO                
0x0b20: 0x0000004d44000300 GPP_U13      GPIO                
0x0b30: 0x0000004e44000300 GPP_U14      GPIO                
0x0b40: 0x0000004f44000300 GPP_U15      GPIO                
0x0b50: 0x0000005044000300 GPP_U16      GPIO                
0x0b60: 0x0000005144000300 GPP_U17      GPIO                
0x0b70: 0x0000005244000300 GPP_U18      GPIO                
0x0b80: 0x0000005344000300 GPP_U19      GPIO                
0x0b90: 0x0000000040000700 GSPI3_CLK_LOOPBK RESERVED            
0x0ba0: 0x0000000040000700 GSPI4_CLK_LOOPBK RESERVED            
0x0bb0: 0x0000000040000700 GSPI5_CLK_LOOPBK RESERVED            
0x0bc0: 0x0000000040000700 GSPI6_CLK_LOOPBK RESERVED            
------- GPIO Group VGPIO -------
0x0bd0: 0x0000000040000200 VGPIO0       GPIO                
0x0be0: 0x0000005444000102 VGPIO4       GPIO                
0x0bf0: 0x0000000040000003 VGPIO5       GPIO                
0x0c00: 0x0000000040000402 VGPIO6       VGPIO6              
0x0c10: 0x0000000040000400 VGPIO7       VGPIO7              
0x0c20: 0x0000000040000400 VGPIO8       VGPIO8              
0x0c30: 0x0000000040000402 VGPIO9       VGPIO9              
0x0c40: 0x0000000040000402 VGPIO10      VGPIO10             
0x0c50: 0x0000000040000400 VGPIO11      VGPIO11             
0x0c60: 0x0000000040000400 VGPIO12      VGPIO12             
0x0c70: 0x0000000040000402 VGPIO13      VGPIO13             
0x0c80: 0x0000000040000402 VGPIO18      VGPIO18             
0x0c90: 0x0000000040000400 VGPIO19      VGPIO19             
0x0ca0: 0x0000000040000400 VGPIO20      VGPIO20             
0x0cb0: 0x0000000040000402 VGPIO21      VGPIO21             
0x0cc0: 0x0000000040000402 VGPIO22      VGPIO22             
0x0cd0: 0x0000000040000400 VGPIO23      VGPIO23             
0x0ce0: 0x0000000040000400 VGPIO24      VGPIO24             
0x0cf0: 0x0000000040000402 VGPIO25      VGPIO25             
0x0d00: 0x0000000040000400 VGPIO30      VGPIO30             
0x0d10: 0x0000000040000400 VGPIO31      VGPIO31             
0x0d20: 0x0000000040000400 VGPIO32      VGPIO32             
0x0d30: 0x0000000040000400 VGPIO33      VGPIO33             
0x0d40: 0x0000000040000400 VGPIO34      VGPIO34             
0x0d50: 0x0000000040000400 VGPIO35      VGPIO35             
0x0d60: 0x0000000040000400 VGPIO36      VGPIO36             
0x0d70: 0x0000000040000400 VGPIO37      VGPIO37             
------- GPIO Community 2 -------

PCR Port ID: 0x6c0000

------- GPIO Group GPD -------
0x0700: 0x0000306004000702 GPD0         BATLOW#             
0x0710: 0x00003c6104000702 GPD1         ACPRESENT           
0x0720: 0x00003c6204000702 GPD2         LAN_WAKE#           
0x0730: 0x0000306304000702 GPD3         PRWBTN#             
0x0740: 0x0000006404000600 GPD4         SLP_S3#             
0x0750: 0x0000006504000600 GPD5         SLP_S4#             
0x0760: 0x0000006604000200 GPD6         GPIO                
0x0770: 0x0000006704000200 GPD7         GPIO                
0x0780: 0x0000006804000700 GPD8         SUSCLK              
0x0790: 0x0000006904000200 GPD9         GPIO                
0x07a0: 0x0000006a04000600 GPD10        SLP_S5#             
0x07b0: 0x0000006b04000600 GPD11        LANPHYPC            
0x07c0: 0x0000000000000702 INPUT3VSEL   INPUT3VSEL          
0x07d0: 0x0000000000000702 SLP_LAN#     SLP_LAN#            
0x07e0: 0x0000000000000700 SLP_SUS#     SLP_SUS#            
0x07f0: 0x0000000000000702 WAKE#        WAKE#               
0x0800: 0x0000000000000700 DRAM_RESET#  DRAM_RESET#         
------- GPIO Community 3 -------

PCR Port ID: 0x6b0000

------- GPIO Group CPU -------
0x0700: 0x0003fc0040000700 HDACPU_SDI   HDACPU_SDI          
0x0710: 0x0003fc0040000700 HDACPU_SDO   HDACPU_SDO          
0x0720: 0x0003c00040000700 HDACPU_SCLK  HDACPU_SCLK         
0x0730: 0x0003c00040000700 PM_SYNC      PM_SYNC             
0x0740: 0x0003c00040000702 PECI         PECI                
0x0750: 0x0003c00040000700 CPUPWRGD     CPUPWRGD            
0x0760: 0x0003c00040000702 THRMTRIP#    THRMTRIP#           
0x0770: 0x0003c00040000700 PLTRST_CPU#  PLTRST_CPU#         
0x0780: 0x0003c00040000700 PM_DOWN      PM_DOWN             
0x0790: 0x0003d00040000700 TRIGGER_IN   TRIGGER_IN          
0x07a0: 0x0003d00040000700 TRIGGER_OUT  TRIGGER_OUT         
0x07b0: 0x0003c00040000700 UFS_RESET#   UFS_RESET#          
0x07c0: 0x0003c00040000700 CLKOUT_CPURTC CLKOUT_CPURTC       
0x07d0: 0x0003c00040000700 VCCST_OVERRIDE VCCST_OVERRIDE      
0x07e0: 0x0003c00040000700 C10_WAKE     C10_WAKE            
------- GPIO Group VGPIO3 -------
0x07f0: 0x0000000080000400 VGPIO_PCIE_0 VGPIO_PCIE_0        
0x0800: 0x0000000080000400 VGPIO_PCIE_1 VGPIO_PCIE_1        
0x0810: 0x0000000080000400 VGPIO_PCIE_2 VGPIO_PCIE_2        
0x0820: 0x0000000080000400 VGPIO_PCIE_3 VGPIO_PCIE_3        
0x0830: 0x0000000080000400 VGPIO_PCIE_4 VGPIO_PCIE_4        
0x0840: 0x0000000080000400 VGPIO_PCIE_5 VGPIO_PCIE_5        
0x0850: 0x0000000080000400 VGPIO_PCIE_6 VGPIO_PCIE_6        
0x0860: 0x0000000080000400 VGPIO_PCIE_7 VGPIO_PCIE_7        
0x0870: 0x0000000080000400 VGPIO_PCIE_8 VGPIO_PCIE_8        
0x0880: 0x0000000080000400 VGPIO_PCIE_9 VGPIO_PCIE_9        
0x0890: 0x0000000080000400 VGPIO_PCIE_10 VGPIO_PCIE_10       
0x08a0: 0x0000000080000400 VGPIO_PCIE_11 VGPIO_PCIE_11       
0x08b0: 0x0000000080000400 VGPIO_PCIE_12 VGPIO_PCIE_12       
0x08c0: 0x0000000080000400 VGPIO_PCIE_13 VGPIO_PCIE_13       
0x08d0: 0x0000000080000400 VGPIO_PCIE_14 VGPIO_PCIE_14       
0x08e0: 0x0000000080000400 VGPIO_PCIE_15 VGPIO_PCIE_15       
0x08f0: 0x0000000080000400 VGPIO_PCIE_16 VGPIO_PCIE_16       
0x0900: 0x0000000080000400 VGPIO_PCIE_17 VGPIO_PCIE_17       
0x0910: 0x0000000080000400 VGPIO_PCIE_18 VGPIO_PCIE_18       
0x0920: 0x0000000080000400 VGPIO_PCIE_19 VGPIO_PCIE_19       
0x0930: 0x0000000080000400 VGPIO_PCIE_20 VGPIO_PCIE_20       
0x0940: 0x0000000080000400 VGPIO_PCIE_21 VGPIO_PCIE_21       
0x0950: 0x0000000080000400 VGPIO_PCIE_22 VGPIO_PCIE_22       
0x0960: 0x0000000080000400 VGPIO_PCIE_23 VGPIO_PCIE_23       
0x0970: 0x0000000080000400 VGPIO_PCIE_24 VGPIO_PCIE_24       
0x0980: 0x0000000080000400 VGPIO_PCIE_25 VGPIO_PCIE_25       
0x0990: 0x0000000080000400 VGPIO_PCIE_26 VGPIO_PCIE_26       
0x09a0: 0x0000000080000400 VGPIO_PCIE_27 VGPIO_PCIE_27       
0x09b0: 0x0000000080000400 VGPIO_PCIE_28 VGPIO_PCIE_28       
0x09c0: 0x0000000080000400 VGPIO_PCIE_29 VGPIO_PCIE_29       
0x09d0: 0x0000000080000400 VGPIO_PCIE_30 VGPIO_PCIE_30       
0x09e0: 0x0000000080000400 VGPIO_PCIE_31 VGPIO_PCIE_31       
0x09f0: 0x0000000080000400 VGPIO_PCIE_32 VGPIO_PCIE_32       
0x0a00: 0x0000000080000400 VGPIO_PCIE_33 VGPIO_PCIE_33       
0x0a10: 0x0000000080000400 VGPIO_PCIE_34 VGPIO_PCIE_34       
0x0a20: 0x0000000080000400 VGPIO_PCIE_35 VGPIO_PCIE_35       
0x0a30: 0x0000000080000400 VGPIO_PCIE_36 VGPIO_PCIE_36       
0x0a40: 0x0000000080000400 VGPIO_PCIE_37 VGPIO_PCIE_37       
0x0a50: 0x0000000080000400 VGPIO_PCIE_38 VGPIO_PCIE_38       
0x0a60: 0x0000000080000400 VGPIO_PCIE_39 VGPIO_PCIE_39       
0x0a70: 0x0000000080000400 VGPIO_PCIE_40 VGPIO_PCIE_40       
0x0a80: 0x0000000080000400 VGPIO_PCIE_41 VGPIO_PCIE_41       
0x0a90: 0x0000000080000400 VGPIO_PCIE_42 VGPIO_PCIE_42       
0x0aa0: 0x0000000080000400 VGPIO_PCIE_43 VGPIO_PCIE_43       
0x0ab0: 0x0000000080000400 VGPIO_PCIE_44 VGPIO_PCIE_44       
0x0ac0: 0x0000000080000400 VGPIO_PCIE_45 VGPIO_PCIE_45       
0x0ad0: 0x0000000080000400 VGPIO_PCIE_46 VGPIO_PCIE_46       
0x0ae0: 0x0000000080000400 VGPIO_PCIE_47 VGPIO_PCIE_47       
0x0af0: 0x0000000080000400 VGPIO_PCIE_48 VGPIO_PCIE_48       
0x0b00: 0x0000000080000400 VGPIO_PCIE_49 VGPIO_PCIE_49       
0x0b10: 0x0000000080000400 VGPIO_PCIE_50 VGPIO_PCIE_50       
0x0b20: 0x0000000080000400 VGPIO_PCIE_51 VGPIO_PCIE_51       
0x0b30: 0x0000000080000400 VGPIO_PCIE_52 VGPIO_PCIE_52       
0x0b40: 0x0000000080000400 VGPIO_PCIE_53 VGPIO_PCIE_53       
0x0b50: 0x0000000080000400 VGPIO_PCIE_54 VGPIO_PCIE_54       
0x0b60: 0x0000000080000400 VGPIO_PCIE_55 VGPIO_PCIE_55       
0x0b70: 0x0000000080000400 VGPIO_PCIE_56 VGPIO_PCIE_56       
0x0b80: 0x0000000080000400 VGPIO_PCIE_57 VGPIO_PCIE_57       
0x0b90: 0x0000000080000400 VGPIO_PCIE_58 VGPIO_PCIE_58       
0x0ba0: 0x0000000080000400 VGPIO_PCIE_59 VGPIO_PCIE_59       
0x0bb0: 0x0000000080000400 VGPIO_PCIE_60 VGPIO_PCIE_60       
0x0bc0: 0x0000000080000400 VGPIO_PCIE_61 VGPIO_PCIE_61       
0x0bd0: 0x0000000080000400 VGPIO_PCIE_62 VGPIO_PCIE_62       
0x0be0: 0x0000000080000400 VGPIO_PCIE_63 VGPIO_PCIE_63       
0x0bf0: 0x0000000080000400 VGPIO_PCIE_64 VGPIO_PCIE_64       
0x0c00: 0x0000000080000400 VGPIO_PCIE_65 VGPIO_PCIE_65       
0x0c10: 0x0000000080000400 VGPIO_PCIE_66 VGPIO_PCIE_66       
0x0c20: 0x0000000080000400 VGPIO_PCIE_67 VGPIO_PCIE_67       
0x0c30: 0x0000000080000400 VGPIO_PCIE_68 VGPIO_PCIE_68       
0x0c40: 0x0000000080000400 VGPIO_PCIE_69 VGPIO_PCIE_69       
0x0c50: 0x0000000080000400 VGPIO_PCIE_70 VGPIO_PCIE_70       
0x0c60: 0x0000000080000400 VGPIO_PCIE_71 VGPIO_PCIE_71       
0x0c70: 0x0000000080000400 VGPIO_PCIE_72 VGPIO_PCIE_72       
0x0c80: 0x0000000080000400 VGPIO_PCIE_73 VGPIO_PCIE_73       
0x0c90: 0x0000000080000400 VGPIO_PCIE_74 VGPIO_PCIE_74       
0x0ca0: 0x0000000080000400 VGPIO_PCIE_75 VGPIO_PCIE_75       
0x0cb0: 0x0000000080000400 VGPIO_PCIE_76 VGPIO_PCIE_76       
0x0cc0: 0x0000000080000400 VGPIO_PCIE_77 VGPIO_PCIE_77       
0x0cd0: 0x0000000080000400 VGPIO_PCIE_78 VGPIO_PCIE_78       
0x0ce0: 0x0000000080000400 VGPIO_PCIE_79 VGPIO_PCIE_79       
0x0cf0: 0x0000000040000400 VGPIO_USB_0  VGPIO_USB_0         
0x0d00: 0x0000000040000400 VGPIO_USB_1  VGPIO_USB_1         
0x0d10: 0x0000000040000400 VGPIO_USB_2  VGPIO_USB_2         
0x0d20: 0x0000000040000400 VGPIO_USB_3  VGPIO_USB_3         
0x0d30: 0x0000000040000402 VGPIO_USB_4  VGPIO_USB_4         
0x0d40: 0x0000000040000402 VGPIO_USB_5  VGPIO_USB_5         
0x0d50: 0x0000000040000402 VGPIO_USB_6  VGPIO_USB_6         
0x0d60: 0x0000000040000402 VGPIO_USB_7  VGPIO_USB_7         
0x0d70: 0x0000000040000400 VGPIO_PCIE_80 VGPIO_PCIE_80       
0x0d80: 0x0000000040000400 VGPIO_PCIE_81 VGPIO_PCIE_81       
0x0d90: 0x0000000040000400 VGPIO_PCIE_82 VGPIO_PCIE_82       
0x0da0: 0x0000000040000400 VGPIO_PCIE_83 VGPIO_PCIE_83       
------- GPIO Community 4 -------

PCR Port ID: 0x6a0000

------- GPIO Group GPP_C -------
0x0700: 0x0003c06e44000702 GPP_C0       SMBCLK              
0x0710: 0x0003c06f44000702 GPP_C1       SMBDATA             
0x0720: 0x0000007044000200 GPP_C2       GPIO                
0x0730: 0x0000007144000702 GPP_C3       SML0CLK             
0x0740: 0x0000007244000702 GPP_C4       SML0DATA            
0x0750: 0x0000007344000200 GPP_C5       GPIO                
0x0760: 0x0000007404000702 GPP_C6       SML1CLK             
0x0770: 0x0000007504000702 GPP_C7       SML1DATA            
0x0780: 0x0002317684000502 GPP_C8       UART0_RXD           
0x0790: 0x0000317784000500 GPP_C9       UART0_TXD           
0x07a0: 0x0000311884000500 GPP_C10      UART0_RTS#          
0x07b0: 0x0002311984000502 GPP_C11      UART0_CTS#          
0x07c0: 0x0000001a44000300 GPP_C12      GPIO                
0x07d0: 0x0000001b44000300 GPP_C13      GPIO                
0x07e0: 0x0000001c40900102 GPP_C14      GPIO                
0x07f0: 0x0000001d44000300 GPP_C15      GPIO                
0x0800: 0x0000001e44000702 GPP_C16      I2C0_SDA            
0x0810: 0x0000001f44000702 GPP_C17      I2C0_SCL            
0x0820: 0x0000002044000300 GPP_C18      GPIO                
0x0830: 0x0000002144000300 GPP_C19      GPIO                
0x0840: 0x0002012244000702 GPP_C20      UART2_RXD           
0x0850: 0x0000012344000700 GPP_C21      UART2_TXD           
0x0860: 0x0000012444000700 GPP_C22      UART2_RTS#          
0x0870: 0x0002012544000702 GPP_C23      UART2_CTS#          
------- GPIO Group GPP_F -------
0x0880: 0x0000005644000700 GPP_F0       CNV_BRI_DT          
0x0890: 0x0000305744000702 GPP_F1       CNV_BRI_RSP         
0x08a0: 0x0000005844000700 GPP_F2       CNV_RGI_DT          
0x08b0: 0x0000305944000702 GPP_F3       CNV_RGI_RSP         
0x08c0: 0x0000005a44000700 GPP_F4       CNV_RF_RESET#       
0x08d0: 0x0000005b44000b00 GPP_F5       MODEM_CLKREQ        
0x08e0: 0x0000005c44000300 GPP_F6       GPIO                
0x08f0: 0x0000005d44000200 GPP_F7       GPIO                
0x0900: 0x0000005e44000300 GPP_F8       GPIO                
0x0910: 0x0000005f44000700 GPP_F9       Reserved            
0x0920: 0x0000006044000200 GPP_F10      GPIO                
0x0930: 0x0000006144000300 GPP_F11      GPIO                
0x0940: 0x0000006244000300 GPP_F12      GPIO                
0x0950: 0x0000006344000300 GPP_F13      GPIO                
0x0960: 0x0000006444000300 GPP_F14      GPIO                
0x0970: 0x0000006544000300 GPP_F15      GPIO                
0x0980: 0x0000006644000300 GPP_F16      GPIO                
0x0990: 0x0000006744000300 GPP_F17      GPIO                
0x09a0: 0x0000006844000300 GPP_F18      GPIO                
0x09b0: 0x0000006944000300 GPP_F19      GPIO                
0x09c0: 0x0003c06a44000700 GPP_F20      EXT_PWR_GATE#       
0x09d0: 0x0003c06b44000700 GPP_F21      EXT_PWR_GATE2#      
0x09e0: 0x0003c06c44000300 GPP_F22      GPIO                
0x09f0: 0x0003c06d44000300 GPP_F23      GPIO                
0x0a00: 0x0000000040000f00 GPPF_CLK_LOOPBK n/a                 
------- GPIO Group HVMOS -------
0x0a10: 0x0000000040000700 L_BKLTEN     L_BKLTEN            
0x0a20: 0x0000000040000700 L_BKLTCTL    L_BKLTCTL           
0x0a30: 0x0000000040000700 L_VDDEN      L_VDDEN             
0x0a40: 0x0003c00040000702 SYS_PWROK    SYS_PWROK           
0x0a50: 0x0003c00040000702 SYS_RESET#   SYS_RESET#          
0x0a60: 0x0000000040000700 MLK_RST#     MLK_RST#            
------- GPIO Group GPP_E -------
0x0a70: 0x0000002644000300 GPP_E0       GPIO                
0x0a80: 0x0000302784000102 GPP_E1       GPIO                
0x0a90: 0x0000302884000102 GPP_E2       GPIO                
0x0aa0: 0x0000002944000300 GPP_E3       GPIO                
0x0ab0: 0x0000003044000300 GPP_E4       GPIO                
0x0ac0: 0x0000003144000300 GPP_E5       GPIO                
0x0ad0: 0x0000003244000200 GPP_E6       GPIO                
0x0ae0: 0x0000003344000300 GPP_E7       GPIO                
0x0af0: 0x0000003444000300 GPP_E8       GPIO                
0x0b00: 0x0000003544000300 GPP_E9       GPIO                
0x0b10: 0x0000303684000102 GPP_E10      GPIO                
0x0b20: 0x0000303784000102 GPP_E11      GPIO                
0x0b30: 0x0000303884000102 GPP_E12      GPIO                
0x0b40: 0x0000303984000102 GPP_E13      GPIO                
0x0b50: 0x0002403a44000700 GPP_E14      DDSP_HPDA           
0x0b60: 0x0000303b84000102 GPP_E15      GPIO                
0x0b70: 0x0000303c84000201 GPP_E16      GPIO                
0x0b80: 0x0000003d44000300 GPP_E17      GPIO                
0x0b90: 0x00003c3e44000300 GPP_E18      GPIO                
0x0ba0: 0x00003c3f44000300 GPP_E19      GPIO                
0x0bb0: 0x00003c4044001700 GPP_E20      BSSB_LS1_RX         
0x0bc0: 0x00003c4144001600 GPP_E21      BSSB_LS1_TX         
0x0bd0: 0x0000104244000b00 GPP_E22      DNX_FORCE_RELOAD    
0x0be0: 0x0000004344000200 GPP_E23      GPIO                
0x0bf0: 0x0000000040000700 GPPE_CLK_LOOPBK n/a                 
------- GPIO Group JTAG -------
0x0c00: 0x00003c0040000702 JTAG_TDO     JTAG_TDO            
0x0c10: 0x0003fc0040000700 JTAGX        JTAGX               
0x0c20: 0x0003fc0040000700 PRDY#        PRDY#               
0x0c30: 0x0003fc0040000702 PREQ#        PREQ#               
0x0c40: 0x0003fc0040000700 CPU_TRST#    CPU_TRST#           
0x0c50: 0x00003c0040000702 JTAG_TDI     JTAG_TDI            
0x0c60: 0x00003c0040000702 JTAG_TMS     JTAG_TMS            
0x0c70: 0x00003c0040000700 JTAG_TCK     JTAG_TCK            
0x0c80: 0x00003c0040000700 DBG_PMODE    DBG_PMODE           
0x0c90: 0x0000000000000000 MLK          GPIO                
------- GPIO Community 5 -------

